,Formula,Space group,Material_id,Gap,e_above_hull,N_sites,Density
5,Si,P6_3/mmc,mp-165,0.45169999999999977,0.010745889999999925,4,2.281615852593324
4,Si,Fd-3m,mp-149,0.6118999999999994,0.0,2,2.2811943005642012
2,P,Cmce,mp-157,0.6744000000000003,0.03002964690476162,4,2.4363409033735235
3,Se,P3_121,mp-14,0.9987999999999999,0.005984748072916712,3,4.403367279205449
1,I,Cmce,mp-23153,1.0140999999999998,0.0,4,4.07468463929697
0,Hg,P2_1/c,mp-1077098,1.0986,0.020464718333333298,6,8.858266193384662
