48.574	0.137
46.419	0.121
45.349	0.115
45.184	0.041
44.197	0
48.525	0.221
48.311	0.221
45.169	0.114
41.778	0.033
39.132	0.016
34.26	0.01
34.108	0.01
32.346	0
29.845	0
45.482	0.269
44.423	0.161
44.225	0.129
41.681	0.098
41.256	0.059
39.241	0.056
37.702	0.02
36.121	0.016
35.595	0.016
29.96	0.006
28.622	0
24.662	0
44.16	0.484
43.641	0.219
43.175	0.2
42.967	0.145
42.36	0.131
40.977	0.096
39.366	0.071
38.883	0.06
37.499	0.047
34.816	0.043
30.586	0.041
30.312	0.028
28.827	0.02
22.94	0
42.9	0.349
42.7	0.253
42.588	0.216
40.188	0.124
39.206	0.076
36.649	0.061
34.611	0.052
34.229	0.049
32.739	0.048
30.547	0.046
29.97	0.042
28.56	0.038
28.043	0.037
27.297	0.026
26.474	0.024
25.785	0.024
21.433	0
42.548	0.459
42.038	0.25
40.019	0.208
39.487	0.13
38.867	0.12
37.506	0.101
33.094	0.053
28.907	0.047
26.879	0.045
25.078	0.04
41.146	0.578
40.709	0.425
40.056	0.351
39.764	0.244
38.884	0.146
35.941	0.104
34.896	0.101
32.358	0.055
24.746	0.042
39.765	0.38
39.194	0.257
37.049	0.206
37.044	0.178
35.852	0.149
35.486	0.125
34.536	0.11
32.945	0.106
32.353	0.091
31.129	0.084
30.926	0.074
30.141	0.065
27.97	0.065
24.532	0.052
38.907	0.321
38.682	0.269
36.412	0.259
35.573	0.196
34.797	0.14
33.385	0.12
32.825	0.113
30.625	0.112
30.415	0.1
30.187	0.094
29.526	0.065
23.288	0.058
38.547	0.402
36.698	0.302
36.672	0.286
35.505	0.198
33.375	0.129
32.104	0.119
30.747	0.118
29.471	0.087
29.242	0.07
28.074	0.068
38.011	0.5
37.046	0.407
35.966	0.392
35.527	0.375
35.488	0.331
34.418	0.27
34.287	0.225
33.359	0.195
33.238	0.167
33.209	0.158
32.27	0.15
31.173	0.129
30.905	0.121
29.212	0.121
28.529	0.087
28.317	0.078
22.89	0.073
21.021	0.072
37.824	0.752
37.745	0.551
36.545	0.473
35.961	0.46
35.388	0.457
35.017	0.428
34.456	0.362
34.195	0.308
34.011	0.265
33.902	0.26
33.268	0.207
33.019	0.17
30.919	0.145
30.693	0.14
30.427	0.123
28.056	0.096
26.477	0.082
24.987	0.079
37.187	0.58
35.861	0.47
34.73	0.448
34.445	0.4
34.258	0.363
33.745	0.299
33.201	0.217
32.501	0.187
32.488	0.171
30.427	0.171
30.276	0.158
30.159	0.155
29.527	0.126
26.461	0.093
25.91	0.087
20.891	0.086
15.954	0.08
36.526	0.637
35.465	0.566
35.35	0.488
34.483	0.476
34.436	0.469
34.26	0.467
34.003	0.401
33.308	0.355
33.112	0.22
32.381	0.186
31.932	0.18
31.302	0.173
30.497	0.172
29.979	0.167
29.37	0.154
29.303	0.151
29.143	0.142
28.769	0.135
28.594	0.13
27.882	0.128
26.407	0.095
35.282	0.678
35.151	0.565
34.917	0.536
33.692	0.51
33.517	0.404
33.05	0.357
32.877	0.226
31.696	0.195
31.177	0.181
30.522	0.18
30.25	0.179
29.298	0.177
29.222	0.162
29.082	0.152
28.916	0.147
27.701	0.138
27.667	0.13
26.413	0.129
26.392	0.106
24.143	0.104
22.612	0.102
34.328	0.606
34.082	0.536
33.426	0.468
33.001	0.417
32.967	0.382
32.824	0.323
32.801	0.293
32.626	0.264
31.634	0.248
31.497	0.216
30.38	0.185
29.725	0.182
29.095	0.178
28.969	0.175
28.905	0.168
28.878	0.15
27.998	0.15
27.354	0.146
27.352	0.143
27.029	0.132
26.634	0.131
26.032	0.113
24.878	0.113
20.457	0.105
33.604	0.543
33.397	0.476
32.69	0.411
32.508	0.312
32.123	0.287
32.009	0.266
31.528	0.26
31.456	0.23
30.316	0.205
30.081	0.204
29.63	0.186
28.87	0.16
28.044	0.152
27.239	0.151
26.829	0.144
26.435	0.139
26.393	0.138
