,Formula,Space group,Material_id,Gap,e_above_hull,N_sites,Density
15,Si3As4,P-43m,mp-570744,0.4043000000000001,0.07167499827380919,7,4.117948364663989
153,Na3P,P6_3/mmc,mp-1598,0.40460000000000007,0.0,8,1.7517808309719398
158,SnO,P4/nmm,mp-2097,0.4096000000000002,0.0,4,5.942456569873526
35,CuBr,P6_3/mmc,mp-23227,0.42989999999999995,0.04142656500000008,4,4.865375526057564
185,PbSe,Fm-3m,mp-2201,0.43100000000000005,0.0,2,7.886313734551845
96,FeP2,Pnnm,mp-20027,0.4338999999999995,0.0,6,5.1277139640003515
139,MgTe,Fm-3m,mp-1008786,0.43430000000000035,0.0639015624999999,2,4.720270558500913
16,Te3As2,C2/m,mp-484,0.4366999999999992,0.0,10,5.7422069205567965
121,InS,P2_1/c,mp-630528,0.4394,0.028054021250000005,8,5.18250982233848
4,AgCl,Cmcm,mp-570858,0.44379999999999975,0.03589157999999992,4,5.535540006067872
209,Tl2Te3,Cc,mp-680731,0.44479999999999986,0.024404259999999844,10,7.1198993596065305
10,Cs2As3,Fmmm,mp-15557,0.4474999999999998,0.0,10,3.863184144736802
13,As2Ru,Pnnm,mp-766,0.44920000000000027,0.0,6,8.051427197454801
77,Cr2S3,R3,mp-849081,0.4563999999999995,0.0,10,3.957811929612679
125,InSe,P6_3/mmc,mp-1079454,0.4575,0.0048767237499989236,8,5.024550283292372
123,InSe,P6_3/mmc,mp-20485,0.4575,0.0013706312499999207,8,5.078137367167329
176,P2Pd,C2/c,mp-28266,0.4579000000000004,0.0,6,5.431193337368535
148,SmN,Fm-3m,mp-749,0.45950000000000024,0.0,2,8.3562752623617
180,PbS,Fm-3m,mp-21276,0.46720000000000006,0.0,2,7.333906866198274
119,InP,F-43m,mp-20351,0.4679000000000002,0.0,2,4.581623553814487
109,MgHg,Pm-3m,mp-1408,0.46940000000000026,0.0,2,8.713422390812287
178,P2Ru,Pnnm,mp-1413,0.47499999999999964,0.0,6,6.11752675618414
169,V2O3,R-3c,mp-562005,0.47609999999999975,0.013038598250002309,10,4.635328272050261
112,HgTe,P3_121,mp-358,0.47619999999999996,0.06284489333333343,6,8.153570171395419
32,CrBr2,C2/m,mp-567624,0.47919999999999985,0.07185420037036927,3,3.989367148007784
154,NaSe,P6_3/mmc,mp-15668,0.4799,0.0,8,3.245401308232714
136,Li3Sb,P6_3/mmc,mp-7955,0.4833000000000003,0.0033612725000002897,8,2.9779825060008456
33,CuBr,F-43m,mp-22913,0.4859,0.0,2,5.147663767233691
143,MnP4,P-1,mp-487,0.49239999999999995,0.000343519333334541,10,4.0571320245520015
86,Cu2O,Pn-3m,mp-361,0.4996999999999998,0.0,6,6.028166000942374
60,NaCl7,Pm-3,mp-1080771,0.5030000000000001,0.0,8,1.9421576531854452
76,CrI2,Cmc2_1,mp-567687,0.5076,0.009816106666666435,6,4.361269446865612
63,OsCl4,Cmmm,mp-571035,0.5104999999999998,0.0,5,4.000113850071358
175,SiOs,P2_13,mp-2488,0.5122,0.01194814333333305,8,13.160494722286373
120,InP,P6_3mc,mp-966800,0.5146000000000006,0.005902545000000536,4,4.569158634651977
202,SnSe,Pnma,mp-691,0.5159000000000002,0.0,8,5.8340206597860185
164,Tl2O,C2/m,mp-551470,0.5194000000000001,0.0,6,9.508463267992948
93,RuF4,P2_1/c,mp-974434,0.5254,0.0,10,4.346980494936585
31,Bi2Te3,R-3m,mp-34202,0.5335999999999999,0.0,5,7.4688150348399365
161,SnO,Cmce,mp-545820,0.5353999999999992,0.000990455000001056,8,5.840916440413781
36,FeBr2,P-3m1,mp-22880,0.5376999999999998,0.0,3,4.536917827930927
168,V2O3,R-3c,mp-18937,0.5414000000000003,0.011643768250001685,10,4.633189600740082
140,MnO,Fm-3m,mp-19006,0.5425000000000004,0.0,2,5.092191024139196
30,Bi2Se3,R-3m,mp-541837,0.5434000000000001,0.0,5,7.056071162846153
127,LuIr,Pm-3m,mp-1529,0.5435999999999996,0.0,2,16.135681569955054
155,NiP2,C2/c,mp-486,0.5442,0.011164856666667333,6,4.476788338167118
141,MnO,Fm-3m,mp-578625,0.5502000000000002,0.033150659999998666,2,5.119083880430085
108,HfSe2,P-3m1,mp-985831,0.5535999999999999,0.0,3,6.538054923123724
49,Ca2Si,Fm-3m,mp-1009733,0.5549,0.014353125833332925,3,1.951459079706108
181,PbS,R3m,mp-1057015,0.5555000000000003,0.0008345649999998983,2,7.308180715145071
103,GeS,Cmcm,mp-12910,0.5581,0.044639061249999834,4,4.110012425694508
54,CdSe,P6_3mc,mp-1070,0.56,0.001059184999999907,4,5.301027404742621
59,CuCl,F-43m,mp-22914,0.5611999999999999,0.0,2,4.165254784622299
23,BaP3,C2/m,mp-7808,0.5735000000000001,0.0,8,3.767180607493873
44,Ca2Ge,Fm-3m,mp-1009755,0.5756000000000001,0.017027871666667416,3,2.697254598114631
84,CuH,P6_3mc,mp-24093,0.5783999999999994,0.06154782819000015,4,6.673768880717793
55,CdTe,F-43m,mp-406,0.5846000000000002,0.0,2,5.472510161471287
156,PtO2,Pnnm,mp-1285,0.5864000000000003,0.0,6,11.249715034217436
37,LaBr2,P6_3/mmc,mp-28572,0.5867999999999998,0.003959044333332606,6,4.351826013068257
142,MnO2,Pnnm,mp-715432,0.5872000000000002,0.03656852416666645,6,4.961733963650254
48,CaSi2,R-3m,mp-2700,0.5903,0.0015728049999985672,3,2.36214843350885
9,CdAs2,I4_122,mp-471,0.5958999999999999,0.0,6,5.491634181162118
106,GeTe,R3m,mp-938,0.5965000000000007,0.0,2,5.909651479586358
24,BaSe2,C2/c,mp-7547,0.5995000000000001,0.0,6,4.755527176307544
152,NaO3,Imm2,mp-22464,0.6024,0.07888201843749876,4,2.1173599686864137
19,EuB6,Pm-3m,mp-20874,0.6101000000000001,0.0,7,5.0132124133983655
80,Cs3Sb,Fm-3m,mp-10378,0.6137000000000001,0.0,4,4.228331707724108
78,Cs2O,R-3m,mp-7988,0.6137999999999999,0.0,3,4.047969271736823
157,Rh2O3,R-3c,mp-542734,0.6193,0.02923587549999951,10,7.634370449830265
56,CdTe,P6_3mc,mp-12779,0.6198000000000001,0.004014724999999775,4,5.466196012107089
87,ErN,Fm-3m,mp-19830,0.6297999999999999,0.0,2,10.5658294733128
172,ZnO,F-43m,mp-1986,0.6310999999999999,0.006964027499999581,2,5.446383569569964
130,K2Se3,Cmc2_1,mp-7670,0.6329999999999999,0.0,10,3.268849603651539
11,Li3As,P6_3/mmc,mp-757,0.6364999999999998,0.0,8,2.454983960701101
83,Cs2Te3,Cmc2_1,mp-505634,0.6368999999999998,0.0,10,4.5264857968592045
14,As2Se3,C2/m,mp-1078443,0.6385999999999998,0.0,10,5.001775815720731
43,CaGe2,R-3m,mp-567456,0.6408000000000005,0.0,3,4.1968641795841855
122,In2S3,R-3c,mp-22375,0.6438999999999995,0.029880469750000138,10,4.712893473291113
47,Ca2Pb,Fm-3m,mp-1009756,0.6495000000000002,0.03883787166666686,3,4.282124488817178
160,SnO2,P4_2/mnm,mp-1071822,0.6519000000000004,5.806999999968809e-05,6,6.604471276562272
