,Formula,Space group,Material_id,Gap,e_above_hull,N_sites,Density
51,Sr2CoMoO6,I4/m,mp-18805,1.1019999999999994,0.0,10,5.529610001233701
34,PrBi2ClO4,P4/mmm,mp-553082,1.1244,0.0,8,7.559525516614453
66,K2Th(CuS2)2,C2/m,mp-555425,1.1260000000000003,0.010681548611112035,9,4.482918957196105
54,Na5CoSO2,P4/mmm,mp-558872,1.1386999999999998,0.012576911944443658,9,2.2818748149680417
53,Na5CoSO2,P4/mmm,mp-19027,1.1386999999999998,0.012245121944453707,9,2.2888981893257956
24,Ba2MnTeO6,Fm-3m,mp-18992,1.1448,0.0,10,6.335366306820531
15,BaCdPF,P4/nmm,mp-1079603,1.1477,0.01003422750000027,8,5.367492164938959
73,Rb2SnHgTe4,I-42m,mp-1080691,1.1515,0.0,8,5.305613565033333
81,PrZnPO,R-3m,mp-13206,1.1665,0.0,8,5.728012605770079
58,DyCuSeO,P4/nmm,mp-9304,1.1804000000000006,0.016320074375000715,8,8.039123733644027
75,La2MnNiO6,Fm-3m,mp-1079517,1.1807999999999996,0.0,10,6.8871865199144535
33,NdBi2ClO4,P4/mmm,mp-545529,1.1834999999999996,0.0,8,7.640611702508007
64,GdCuSeO,P4/nmm,mp-561820,1.1960999999999995,0.0038370381250008023,8,7.7016291304604
67,LaCuTeO,P4/nmm,mp-546790,1.1965999999999992,0.006948040625000651,8,6.999247910075809
63,SrCuSeF,P4/nmm,mp-21228,1.1989,0.0009549143749998379,8,5.546136990410341
