,Formula,Space group,Material_id,Gap,e_above_hull,N_sites,Density
65,LiIn2CuSe4,I-4,mp-1079491,0.4106000000000001,0.004643349374999772,8,4.88517001017933
70,SrGaSnH,P3m1,mp-978852,0.4150999999999998,0.0,4,5.106885028936842
69,SrGaSiH,P3m1,mp-979137,0.4166000000000003,0.0,4,4.091729385300156
28,Ba3ZnN2O,P4/mmm,mp-545788,0.42289999999999983,0.00724865857142909,7,5.410371231605409
29,Ba2ZnTeO6,Fm-3m,mp-1078410,0.4314999999999998,0.0,10,6.6360455898021
55,Sr2HfCrO6,Fm-3m,mp-1095039,0.4405999999999999,0.035030434312510295,10,6.499273462810511
56,Sr2CrOsO6,R-3,mp-1078448,0.4546999999999999,0.0,10,6.841311132825583
21,BaGaSiH,P3m1,mp-1008506,0.47920000000000007,0.0,4,4.643219179409462
59,EuCuSF,P4/nmm,mp-21354,0.49069999999999947,0.0,8,6.6738692754246225
14,BaCuB2O5,C2,mp-551135,0.49439999999999995,0.03228256592591805,9,4.066482035020825
45,CaGaGeH,P3m1,mp-1018093,0.5002,0.0,4,4.250074985071862
49,Cs2NaUCl6,Fm-3m,mp-23108,0.5004,0.018912803749999263,10,3.6098280720389497
42,Rb2Pd(IBr2)2,I4/mmm,mp-567948,0.5302,0.009486033611111555,9,4.30463025472718
74,MnSbSe2I,C2/m,mp-570268,0.532,0.0,10,5.496406388815925
3,AgPbBrO,P4/nmm,mp-559470,0.5365999999999997,0.05232092073863104,8,5.909104684742295
72,GdZnPO,R-3m,mp-545506,0.5424999999999995,0.0,8,6.5339835804028885
5,KAg2SbS4,I-42m,mp-9490,0.5695999999999999,0.0011462225781242452,8,3.921085229594302
12,LaZnAsO,P4/nmm,mp-549589,0.5760000000000005,0.0,8,6.329917672615641
1,BaAg2GeS4,I-42m,mp-7394,0.5888,0.0,8,4.70604322824128
61,CuH4(OF)2,C2/m,mp-1080513,0.5986000000000001,0.026358988333337052,9,2.5524722903299515
47,Sr2Co(ClO)2,I4/mmm,mp-24840,0.5993000000000004,0.00018267809523742073,7,4.3478318351941
31,CuBiSCl2,Cmcm,mp-554238,0.6101000000000001,0.03718448162499932,10,5.558120645677588
4,Cs2KAgF6,Fm-3m,mp-13687,0.6207999999999999,0.0,10,4.2029998693191954
39,Sr2Co(BrO)2,I4/mmm,mp-24866,0.6307,9.287595238038904e-05,7,4.82564083219074
11,GdZnAsO,P4/nmm,mp-1078542,0.6312000000000002,0.0,8,7.206813937243346
7,SrAlSiH,P3m1,mp-570485,0.6337000000000002,0.0,4,3.1024449975564887
77,LaZnPO,P4/nmm,mp-7060,0.6563000000000008,0.0,8,5.6916119330771116
43,MnSbS2Br,C2/m,mp-554061,0.6707999999999998,0.019817425000001165,10,4.516465729857913
76,LaTaN2O,C2/m,mp-550514,0.6712999999999996,0.0,10,9.057114745019012
40,Cs2Pd(IBr2)2,I4/mmm,mp-543024,0.6798000000000001,0.0,9,4.544991937812826
41,Cs2Pd(IBr2)2,C2/m,mp-23099,0.6891,0.0021896733333330864,9,4.541991545986941
10,SrZnAsF,P4/nmm,mp-1080135,0.69,0.0,8,5.180440709733505
16,BaYbCdSb2,Cmc2_1,mp-865143,0.7040000000000002,0.0,10,6.571966930842841
6,BaAlSiH,P3m1,mp-571093,0.7094,0.0,4,3.7511084947395275
0,Cs2AgAuCl6,I4/mmm,mp-567776,0.7122999999999999,0.0,10,4.094022118341053
36,MnBiSe2I,C2/m,mp-569109,0.7160000000000002,0.0,10,6.415721156432453
68,LiLa2FeO6,R-3,mp-1078209,0.7263999999999999,0.0,10,6.184173006655459
71,Sr2GaSbO6,Fm-3m,mp-6065,0.7291000000000003,0.03867083287500073,10,6.053917064672321
79,SrTaNO2,I4/mcm,mp-552454,0.7545000000000002,0.04593134249997988,10,7.85742408572095
50,Cu3TeS3Cl,R3m,mp-557510,0.7738999999999994,0.028055906367188577,8,4.583606777825174
17,BaGd2CoO5,Immm,mp-561746,0.8241,0.07248366907407089,9,7.602948296780887
80,NdZnSbO,P4/nmm,mp-12516,0.8324999999999996,0.0,8,6.794907912029294
52,Sr2CoMoO6,I4/mmm,mp-560723,0.8403,0.08343698800000254,10,5.656226657903529
57,Cs2KCuF6,Fm-3m,mp-6968,0.8474999999999999,0.0,10,4.224607909838752
32,GdBi2ClO4,P4/mmm,mp-549695,0.8529,0.0,8,8.042075945504175
23,Ba2GdMoO6,I4/m,mp-1078907,0.8590999999999998,0.0006706570000147849,10,6.585204569403332
13,NdZnAsO,P4/nmm,mp-7061,0.8621999999999996,0.0,8,6.627586293717698
27,Ba2SmMoO6,I4/m,mp-1095110,0.8754000000000004,0.0,10,6.411948229675473
48,Cs2Pd(ICl2)2,I4/mmm,mp-607298,0.8764000000000001,0.005611032222221368,9,4.001133745845254
35,SrBiS2F,P4/nmm,mp-1078631,0.8856000000000002,0.0022966052500006384,10,5.354333270484887
60,EuCuTeF,P4/nmm,mp-13339,0.8862000000000005,0.010900479375000494,8,7.3182995099501955
38,TiZn(BiO3)2,P4mm,mvc-11630,0.8966999999999992,0.0722009985000005,10,7.312611601488466
37,LaBiSe2O,P4/nmm,mp-1078431,0.9102000000000006,0.014555732000001598,10,6.765564769027161
20,Ba2ThCu2Se5,C2/m,mp-1078405,0.9245000000000005,0.0,10,6.261531960456166
62,K2NaCuF6,Fm-3m,mp-13797,0.9263,0.0,10,3.1562451378224665
44,Eu2C(NCl)2,C2/m,mp-582618,0.9358999999999993,0.0,7,4.699435512165045
9,BaCdAsF,P4/nmm,mp-1095151,0.9570000000000003,0.0,8,5.882471309373822
22,Ba2GdMoO6,P-1,mp-1079839,0.9748999999999999,0.0,10,6.55634530566938
26,Ba2NdMoO6,P-1,mp-1078551,0.9790000000000005,0.00020298399999862937,10,6.272371875896516
30,GdBi2BrO4,P4/mmm,mp-562809,0.9891000000000001,0.0,8,8.187903345210758
25,Ba2UMnO6,Fm-3m,mp-25003,1.0436,0.0,10,6.989746757139487
8,Nd2AlNO3,I4mm,mp-546679,1.0619999999999994,0.07632814321433123,7,7.1351881468985
2,AgBiSCl2,Cmcm,mp-556094,1.0686999999999998,0.0,10,5.553840234301503
18,Ba2CoMoO6,I4/mmm,mp-561894,1.0715999999999997,0.05368443816667323,10,6.3910218137008545
46,Ca2TiMnO6,I4/m,mp-1080507,1.0729999999999995,0.022327083958336047,10,4.165976130667727
19,Ba2ThCu2S5,C2/m,mp-1078630,1.0797000000000008,0.0,10,5.44732955796699
78,Sr2MnMoO6,I4/m,mp-1095141,1.0968000000000004,0.007963156499998902,10,5.261482369271702
