,Formula,Space group,Material_id,Gap,e_above_hull,N_sites,Density
442,TiNiSn,F-43m,mp-924130,0.4527000000000001,0.0,3,7.230097876412568
436,NaSbS2,C2/m,mp-557179,0.45289999999999964,0.02045637250000265,8,3.604985282909569
291,Li2CuSb,F-43m,mp-15988,0.4535,0.0019254654166664942,4,5.207162638813779
349,HoSbPt,F-43m,mp-16376,0.45840000000000014,0.0,3,11.149206521275568
128,BaMn2O3,Immm,mp-540612,0.4585999999999997,0.003424483124996769,6,5.453344631030377
366,InSiTe3,P-31m,mp-567931,0.45889999999999986,0.0,10,5.291808437199741
159,TlBiTe2,R-3m,mp-27438,0.4683999999999999,0.0,4,7.591850096697825
31,TbAgSe2,I4_1md,mp-979271,0.47209999999999974,0.02755566999999992,8,7.0789857117122885
362,TlInS2,P6_3/mmc,mp-20042,0.4748000000000001,0.012578823437499942,8,6.401617803368971
148,Mn(BiTe2)2,R-3m,mp-1077840,0.4754000000000005,0.00946558785714302,7,7.266323678343576
21,HoAgSe2,I4_1md,mp-1079429,0.4780000000000002,0.034644731874999835,8,7.09688155018031
8,DyAgSe2,I4_1md,mp-1095026,0.47829999999999995,0.016903825625002256,8,7.067308812125871
130,Ba2ZnN2,I4/mmm,mp-9307,0.4796999999999998,0.0,5,5.255315618367149
25,KAgSe,P4/nmm,mp-16236,0.4838,0.0,6,4.626412261932653
343,HfSnPd,F-43m,mp-11869,0.4886999999999997,0.0,3,10.403806854012212
154,Bi2Te4Pb,R-3m,mp-676250,0.4903000000000004,0.0008018085714289747,7,7.526713440434029
292,NaCuO2,C2/m,mp-4541,0.4914000000000003,0.007116344999996471,4,4.071101577167143
308,DySbPt,F-43m,mp-16327,0.4923000000000002,0.0,3,10.99781579521311
405,PrLuSe3,Cmcm,mp-13326,0.49319999999999986,0.0,10,6.896360679803855
156,TlBiS2,R-3m,mp-554310,0.49490000000000034,0.0,4,7.125515165266118
404,NdLuSe3,Cmcm,mp-13327,0.49560000000000004,0.0,10,7.00604411255768
251,Y2CrH6,Fm-3m,mp-1095185,0.4982000000000002,0.04359815555555624,9,4.570004635704747
383,KZn4P3,R-3m,mp-1087504,0.5004,0.0,8,4.003709712667569
78,Li3LaAs2,P-3m1,mp-1018766,0.5023,0.0,6,4.415893895243158
119,Ba(CuS)2,I4/mmm,mp-4255,0.5059999999999993,0.016978384999995377,5,5.623162979652351
268,CsSnI3,Pm-3m,mp-614013,0.5064000000000002,0.006791634999999907,5,4.226897430952733
425,NaNiO2,C2/m,mp-19149,0.5083000000000002,0.0,4,4.635043432652822
392,LiZnN,F-43m,mp-7575,0.5083000000000002,0.0,3,4.770475644290248
355,Rb2PtI6,Fm-3m,mp-28110,0.5131000000000001,0.0,9,4.881466914541798
318,NbFeSb,F-43m,mp-9437,0.5137999999999998,0.0,3,8.448732248949891
354,TePdI2,P-1,mp-573321,0.5150000000000001,0.018826298999999658,8,5.923699174569057
220,CsVCl3,P6_3/mmc,mp-22977,0.5181999999999998,0.0,10,3.26669839407025
367,TlInTe2,I4/mcm,mp-22791,0.5208999999999993,0.0,8,6.877459975147792
61,Sr2CdAs2,Cmc2_1,mp-863261,0.5215000000000001,0.0,10,4.9322720144549175
345,In2HgTe4,I-4,mp-19765,0.5270999999999999,0.0,7,5.971592476290041
331,TlGaTe2,I4/mcm,mp-3785,0.5316999999999998,0.0,8,6.757658494022163
23,Ag3SI,R3,mp-22995,0.5324999999999998,0.05431834499999999,5,6.576092317620066
146,Cs2Bi2Pd,Cmcm,mp-1080693,0.5383,0.0,10,5.982770498641753
167,Li2FeBr4,Cmmm,mp-22967,0.5386000000000002,0.029745495714285752,7,3.9135986104400313
185,Gd2CCl2,P-3m1,mp-29394,0.5390999999999999,0.0,5,5.6573698541597635
424,NaNbSe2,P6_3/mmc,mp-7939,0.5457000000000001,0.0,8,5.440616577422667
82,LiZnAs,F-43m,mp-9124,0.5474999999999999,0.0,3,4.577798295397315
157,Bi2Te2Se,R-3m,mp-29666,0.5476000000000001,0.0,5,7.0969616956740715
419,Zr2SN2,P-3m1,mp-553875,0.5502000000000002,0.012767755000002268,5,5.411710265258177
267,CsSnI3,P4/mbm,mp-616378,0.5537000000000001,0.0029246419999995332,10,4.281712123515002
337,RbGeI3,Pm-3m,mp-571458,0.5540000000000003,0.025356767999999974,5,4.234148355256064
68,MgGeAs2,I-42d,mp-1016200,0.5541,0.019768562743055718,8,3.996649910135619
296,Nd2CuO4,I4/mmm,mp-4158,0.5556000000000001,0.0,7,7.0861650467921695
258,CrSiTe3,R-3,mp-3779,0.5576000000000008,0.0,10,4.994813300638018
439,Pr2NiO4,I4/mmm,mp-18839,0.5583,0.07117796214285743,7,7.1645869850300095
285,Cu2HgI4,I-42m,mp-23353,0.5589000000000004,0.0,7,5.723613665753589
174,TiBrN,Pmmn,mp-27849,0.5597000000000001,0.0,6,3.9395892761362985
330,TlGaSe2,I4/mcm,mp-9580,0.5609999999999999,0.01859848374999995,8,6.488531574027815
231,TiNCl,Pmmn,mp-1072507,0.5613000000000001,0.0012155033333343113,6,3.0403263843476487
230,TiNCl,Pmmn,mp-27850,0.5613000000000001,0.0,6,2.96084839542157
418,Zr2SN2,P6_3/mmc,mp-11583,0.5637999999999996,0.0,10,5.411485902285781
101,K3AuO,Pm-3m,mp-9200,0.5646,0.0,5,3.644827324372502
110,Ca3BN3,P4/mmm,mp-30315,0.5682,0.0,7,2.758641015551195
462,Rb2Te2Pd,Immm,mp-1070356,0.5711000000000004,0.0,5,4.830612210258502
306,VCu3Te4,P-43m,mp-991652,0.5731999999999999,0.0,8,6.029625326981284
14,GaAgO2,P6_3/mmc,mp-11020,0.5832999999999999,0.0,8,6.9294202904253215
184,RbVBr3,P6_3/mmc,mp-570099,0.5839000000000003,0.00022842533333378157,10,3.8812680670120048
430,NaSnP,P6_3mc,mp-29529,0.5842,0.0,6,3.6518430012578325
179,Rb4Br2O,I4/mmm,mp-30004,0.5864,0.00158819571428781,7,3.1993031631568503
43,AlTlSe2,I4/mcm,mp-9579,0.5872999999999999,0.012498472812500161,8,5.885180613046834
36,AlAuO2,P6_3/mmc,mp-16613,0.5888,0.012279223125000627,8,9.213030634602978
160,Ca3SiBr2,Immm,mp-568050,0.5895999999999999,0.024455641249999882,6,2.869856321520042
46,BaLiAs,P-6m2,mp-10616,0.5951,0.0,3,4.383812909548087
240,Tl2WCl6,Fm-3m,mp-29556,0.5962000000000001,0.0,9,5.236190291685432
28,VAg3O4,I-42m,mp-19412,0.6003,0.030119907500000487,8,5.690485393516356
290,KCuTe,P6_3/mmc,mp-7436,0.6037000000000003,0.0,6,4.345356611761127
59,K4CdAs2,R-3m,mp-29585,0.6093999999999999,0.0,7,2.501044802978249
87,Rb2As2Pt,Cmcm,mp-13445,0.6104000000000003,0.0,10,5.320339148874412
473,ScTlSe2,R-3m,mp-13313,0.6128,0.0,4,6.3547730572799255
269,CsVI3,P6_3/mmc,mp-22991,0.6169000000000002,0.0,10,4.523940894591615
182,Rb2PdBr6,Fm-3m,mp-28084,0.619,0.0,9,4.078801776969981
428,NaTlO2,R-3m,mp-3056,0.6210999999999998,0.0,4,7.638887687670002
108,Ca(BC)2,I4/mcm,mp-10289,0.6228999999999996,0.0,10,2.6581591650870746
423,NaNbS2,P6_3/mmc,mp-7937,0.6250999999999998,0.0,8,4.103610301450556
210,ZnCd3Se4,P-43m,mp-1078597,0.6262,0.009289873750000233,8,5.281713327015672
217,CsEuCl3,Pm-3m,mp-1068377,0.6267,0.0,5,3.5398280332408825
297,Cu2PbO2,C2/c,mp-29396,0.6290000000000004,0.0,10,7.830003268595071
274,Cs2Ni3Se4,Fmmm,mp-14336,0.6301000000000001,0.0,9,5.019431021766102
420,Zr2SeN2,P6_3/mmc,mp-1079726,0.633,0.0,10,6.138690503450609
294,NaCuTe,P4/nmm,mp-7434,0.6331999999999995,0.010034804166667133,6,5.173144442924584
344,In2HgSe4,I-4,mp-20731,0.6337000000000002,0.0,7,5.802865508380856
133,Ba4Sb2O,I4/mmm,mp-9774,0.6382000000000003,0.0,7,5.124793042673755
360,NaInTe2,I4/mcm,mp-22483,0.6388999999999996,0.0,8,5.05495594510467
377,K2NiP2,Cmcm,mp-9672,0.6395,0.0,10,2.6508480369214587
7,CuAgS,Cmc2_1,mp-1077811,0.6406999999999998,0.03186074277777706,6,6.088844558972891
415,MoSeS,Amm2,mp-1018806,0.6430999999999998,0.013551151666666428,6,3.84049934857319
465,ScSbPt,F-43m,mp-7173,0.6440999999999999,0.0,3,9.198603745403208
200,CdGeP2,I-42d,mp-3668,0.6444999999999999,0.0,8,4.428162286325804
74,K2As2Pd,Cmcm,mp-8147,0.6457999999999999,0.0,10,3.7900332029354424
114,Ba3BiN,P6_3/mmc,mp-567666,0.6466000000000003,0.0,10,5.91187166686099
117,BaCeN2,P6_3/mmc,mp-4887,0.6481000000000003,0.0,8,6.747106344465163
265,Cs2PdI6,I4/mmm,mp-29806,0.649,0.010995356388889377,9,4.735264070356566
426,Na4NpO5,I4/m,mp-754019,0.6496000000000004,0.0,10,5.011296587265932
95,CsAuBr3,I4/mmm,mp-569548,0.6515000000000001,0.0,10,5.1306694519039935
178,RbNiBr3,P6_3/mmc,mp-27409,0.6519,0.0,10,4.231861543078025
310,RbHgF3,Pm-3m,mp-7482,0.6523999999999999,0.0,5,5.756701252588199
162,CrSBr,Pmmn,mp-22998,0.6541000000000001,0.0,6,3.6866636036808162
225,LaTeCl,P4/nmm,mp-1018752,0.6562999999999999,0.0,6,5.792819541661224
293,Na2CuP,Cmcm,mp-7639,0.6575000000000002,0.0,8,2.9474768287823236
26,Na2AgSb,Cmcm,mp-7392,0.6588000000000003,0.0,8,4.242824940901632
66,Na2CuAs,Cmcm,mp-15685,0.6589999999999998,0.0,8,3.605263604868589
312,TiNF,Pmmn,mp-1071956,0.6598,0.020718136051664615,6,2.8110961919590713
325,Ga2HgTe4,I-4,mp-16337,0.6610999999999998,0.0,7,5.979165867723847
395,Li4NpO5,I4/m,mp-9159,0.6617999999999995,0.0,10,5.651320596658426
51,Ca(BeAs)2,P-3m1,mp-1018630,0.6618999999999993,0.0,5,3.862334268921091
34,TmAgTe2,P-3m1,mp-12953,0.6664000000000003,0.014706655000000346,4,7.7316369874993445
471,TaSbRu,F-43m,mp-31454,0.6669,0.0,3,11.28853003650508
165,CsVBr3,P6_3/mmc,mp-23038,0.6720000000000002,0.0,10,4.132924161202399
374,KNa2Sb,Fm-3m,mp-15724,0.6720999999999999,0.0,4,2.890427088483408
243,KCoO2,I-4,mp-557137,0.6725999999999999,0.04050677375000955,8,3.590860651464611
266,Cs2PtI6,Fm-3m,mp-23060,0.6732,0.0,9,5.019903502707232
466,ThSnPt,F-43m,mp-19886,0.6738,0.0,3,11.428093141092823
89,Rb2SnAs2,Ibam,mp-8931,0.6783999999999999,0.0,10,3.824931594393874
393,NaLi2Sb,Fm-3m,mp-5077,0.6800000000000002,0.0,4,3.281383113164684
30,ScAgSe2,P-3m1,mp-12908,0.6802000000000001,0.0,4,5.823987924753469
116,Ba(CdP)2,P-3m1,mp-8279,0.6829000000000001,0.0,5,5.35086062260009
444,PdSeO3,C2/m,mp-546684,0.6831,0.009633047000003891,10,4.737688870409029
376,KNbSe2,P6_3/mmc,mp-7940,0.6854999999999993,0.015203552666664066,8,5.134905490317177
72,KLi2As,Pmmn,mp-28994,0.6878,0.0,8,2.224353225938121
363,TlInS2,R-3m,mp-22566,0.6884000000000006,0.013270833437500684,4,6.386764512389569
236,Pd2Cl2O,I4_1/amd,mp-28323,0.6905999999999999,0.035584867666667463,10,4.720441404592976
313,NaVF3,Pm-3m,mp-555391,0.6925000000000003,0.07929244049999884,5,3.0029234231777866
300,VCuO3,R-3,mp-504580,0.6943999999999999,0.06318913599997433,10,5.242413496777607
125,BaLiSb,P6_3/mmc,mp-10485,0.6946999999999997,0.0,6,4.5394500749680375
81,LiAsSe2,P2_1/m,mp-1079276,0.6960999999999999,0.007571925000000146,8,4.3785720032888165
161,CsCdBr3,Pm-3m,mp-570231,0.6968000000000001,0.03281817499999917,5,4.529577051198931
70,K4HgAs2,R-3m,mp-29484,0.6976000000000001,0.0,7,3.052031082267524
124,BaLiP,P-6m2,mp-10615,0.6981999999999999,0.03338634500000026,3,3.7762269824259116
155,Bi2Te2S,R-3m,mp-27910,0.6989999999999998,0.0,5,6.8933182970116915
100,RbAuI3,C2/m,mp-568666,0.7023999999999999,0.0,10,5.033162259937381
284,GaCuS2,I-42d,mp-5238,0.7033999999999994,0.001069746249993564,8,4.293213297447876
456,ZnSnP2,I-42d,mp-4175,0.7042999999999999,0.0,8,4.387934841500753
433,Na2PdSe2,Cmc2_1,mp-1078751,0.7049000000000003,0.0,10,4.439628148812702
249,KCrF3,P4/mmm,mp-566131,0.7059000000000002,0.026989624000001378,5,3.189647945930963
129,Ba3SbN,P6_3/mmc,mp-12814,0.7075,0.0,10,5.2894101131778495
71,Hg(AsO3)2,P-31m,mp-3810,0.7083000000000004,0.0,9,6.814355684713091
209,Sr(CdP)2,P-3m1,mp-8277,0.7103000000000002,0.0,5,5.083181652804913
120,Ba(CuSe)2,I4/mmm,mp-10437,0.7110000000000003,0.03583745900000057,5,6.40596652353347
394,LiNbS2,P6_3/mmc,mp-7936,0.7134999999999998,0.0,8,4.24244155957739
333,KGdTe2,R-3m,mp-20420,0.7134999999999998,0.0,4,5.116239963704617
256,NaCrSe2,R-3m,mp-1065463,0.714,0.00015741499999943898,4,4.5555785409359615
58,Ca3AsN,Pm-3m,mp-7223,0.7166999999999999,0.00597979799999937,5,3.2002017781002654
255,NaCrSe2,R-3m,mp-3332,0.7174,0.0,4,4.567541164176277
262,CsHgF3,Pm-3m,mp-561947,0.7228,0.0,5,6.345339001415074
212,ZnCdSe2,P-4m2,mp-1017534,0.7245,0.013737397499999915,4,5.2273561904088455
77,K4ZnAs2,R-3m,mp-571461,0.7257,0.0,7,2.353151844548794
98,CsAuI3,I4/mmm,mp-28453,0.7272000000000001,0.0,10,5.272797488550958
282,GaCuO2,R-3m,mp-4280,0.7286999999999999,0.0,4,6.044513898664003
3,Na2AgAs,Cmcm,mp-8411,0.7294,0.0,8,4.032090319155285
187,Gd2CF2,P-3m1,mp-8301,0.7328000000000001,0.0,5,7.650172313138997
181,VBr2O,Immm,mp-32450,0.733,0.010789659999999479,4,3.889864817670222
364,TlInSe2,I4/mcm,mp-22232,0.7351000000000001,0.0,8,6.651773010639304
422,Sr2ZnN2,I4/mmm,mp-9306,0.7361,0.0,5,4.587365859320377
136,Ca(BeP)2,P-3m1,mp-1017548,0.7366000000000001,0.0,5,2.4821364257732865
350,ZrIN,R-3m,mp-580886,0.7367999999999997,0.029719405000000698,6,5.816178153808124
406,MgMoN2,P6_3/mmc,mp-864954,0.7411000000000012,0.0,8,6.223174808103966
470,ThSbRh,F-43m,mp-10623,0.7443999999999997,0.0,3,9.955343189384115
289,K5CuSb2,R-3m,mp-27999,0.7470000000000001,0.0,8,2.832307028990538
6,CrAgS2,R3m,mp-4182,0.7480000000000002,0.0,4,5.013362239540539
253,LiCrS2,P-3m1,mp-4226,0.7504,0.0,4,3.2066207569920073
277,Cs2Sb2Pt,Cmcm,mp-1080614,0.7604000000000002,0.0,10,5.525669126939546
163,CsGeBr3,Pm-3m,mp-570223,0.7606999999999999,0.01285286800000085,5,4.181414819182306
196,Ca2ZnN2,I4/mmm,mp-8818,0.7618,0.0,5,3.5222562174301615
64,Cs2SnAs2,Ibam,mp-8934,0.7657999999999996,0.0,10,4.242273278836092
228,Tl2MoCl6,Fm-3m,mp-29562,0.7671000000000001,0.0,9,4.676662691694191
202,Cd(InSe2)2,I-42m,mp-568661,0.7710999999999997,0.002773897142856807,7,5.180564995564729
316,PdPtF6,R-3,mp-8547,0.7715000000000001,0.0,8,6.140605370756925
213,ZnCdTe2,I-42d,mp-971837,0.7726000000000002,0.00469391124999996,8,5.469284302687128
239,TeRhCl,C2/m,mp-22945,0.7782,0.0,6,5.830211314177184
50,Ba2ZnAs2,Ibam,mp-1078636,0.7784,0.0,10,5.171245988062657
283,GaCuO2,P6_3/mmc,mp-11019,0.7812999999999999,3.764749999479733e-05,8,6.043914149373099
27,AgRhO2,R-3m,mp-1018033,0.7869999999999999,0.037774653749999665,4,7.558343017701956
459,Yb(ZnP)2,P-3m1,mp-9582,0.7887000000000004,0.0,5,6.37359361887047
467,TiSnPt,F-43m,mp-30847,0.7908,0.0,3,9.925807188767898
388,K2Te2Pt,Immm,mp-8623,0.7917000000000001,0.0,5,5.205642494271395
421,SrTiN2,P4/nmm,mp-9517,0.7925999999999997,0.0,8,4.59614952541499
194,Ca(MgSb)2,P-3m1,mp-9565,0.7934000000000001,0.0,5,3.8123027672255234
448,ZrSO,P4/nmm,mp-8231,0.7935999999999996,0.02549688666666583,6,5.483177240402393
401,SrLiP,P-6m2,mp-10614,0.7964000000000002,0.0799458349999993,3,3.063702870695949
235,OsCl2O,Immm,mp-29133,0.7992999999999997,0.0,4,5.3728758427623236
386,K2Te2Pd,Immm,mp-1068813,0.8016000000000001,0.04371925500000007,5,3.779666693855701
301,VCuO3,P1,mp-614005,0.8024,0.07680304199999721,5,3.3708738745676574
280,FeCuO2,R-3m,mp-796603,0.8043999999999998,0.0,4,5.345957398455376
195,Ca3PN,Pm-3m,mp-11824,0.8045999999999998,0.0,5,2.5998303984410205
84,NaSrAs,P-62m,mp-9775,0.8077000000000001,0.0,9,3.712404053867866
320,Sr3Fe2O5,Cmmm,mp-1079306,0.8077999999999999,0.08039899333334866,10,5.0933601670531
192,Ca(CdP)2,P-3m1,mp-9570,0.8089,0.0,5,4.745560597924559
75,K2As2Pt,Cmcm,mp-1079513,0.8096999999999999,0.0,10,4.781317659923301
97,CsAuCl3,I4/mmm,mp-23484,0.8098,0.0,10,4.429147858175543
390,La2NiO4,I4/mmm,mp-25091,0.8102999999999998,0.06379435571428438,7,6.9262758255672425
166,Cs2WBr6,Fm-3m,mp-541753,0.8105,0.0,9,4.465234541569172
351,NbI3O,C2,mp-546285,0.8108000000000002,0.0,10,4.634769482408925
375,KNbS2,P6_3/mmc,mp-7938,0.8120000000000003,0.0,8,3.96598829866974
143,Ca4Bi2O,I4/mmm,mp-551873,0.8137000000000003,0.0,7,5.20816609452499
304,VCu3Se4,P-43m,mp-21855,0.8164000000000002,0.0,8,5.130519180382487
218,CsNiCl3,P6_3/mmc,mp-22950,0.8181999999999998,0.0,10,3.5797470971852454
29,TmAgS2,I4_1md,mp-1079656,0.8198000000000003,0.017791846406249867,8,6.526107720368166
164,CsNiBr3,P6_3/mmc,mp-1080570,0.8212,0.0,10,4.40737667897919
96,RbAuBr3,C2/m,mp-27300,0.8236,0.0,10,4.752051407932925
457,Sr(ZnP)2,P-3m1,mp-8276,0.8239999999999994,0.0,5,4.453665807933065
458,Sr(ZnP)2,P-3m1,mp-1069471,0.8239999999999994,0.0024523420000011065,5,4.447303859362866
205,K4CdP2,R-3m,mp-28302,0.8246,0.0,7,2.1230145732606465
151,Bi2SO2,Pnnm,mp-27891,0.8247,0.0,10,8.73774076303178
144,CoBiO3,P4mm,mp-557739,0.8266999999999998,0.03653283075001035,5,7.533288800573767
214,Li2CeP2,P-3m1,mp-9912,0.8280999999999996,0.0,5,3.6108447031032016
368,Zn(InTe2)2,I-4,mp-20832,0.8291,0.0,7,5.439162599056808
440,Rb2Ni3S4,Fmmm,mp-1079718,0.8301000000000003,0.0,9,3.9530707247971915
416,NaNbN2,R-3m,mp-7017,0.8320000000000003,0.013218569843750139,4,4.862637601703453
245,NaCoO2,R-3m,mp-18921,0.8321999999999998,6.780500000047596e-05,4,4.890085123236965
246,NaCoO2,R-3m,mp-578616,0.8321999999999998,0.08138792749996249,4,4.428497167057431
67,K2GeAs2,Ibam,mp-8930,0.8328000000000002,0.0,10,3.116954307373048
279,FeCuO2,R-3m,mp-510281,0.8329000000000004,0.0,4,5.345876230788207
352,NbI2O,C2,mp-549720,0.8338000000000001,0.0,8,5.133428674559775
206,Na4CdP2,R-3m,mp-8752,0.8354999999999999,0.0,7,2.3412531935014878
382,KZnP,P6_3/mmc,mp-7437,0.8395999999999999,0.0,6,2.9938578650364818
80,LiAsSe2,Cc,mp-1078724,0.8416999999999999,0.0,8,4.419296060799363
109,LiBC,P6_3/mmc,mp-9244,0.8428000000000004,0.0,6,2.1514454102192295
385,K2PdSe2,Immm,mp-1069706,0.8458000000000001,0.0,5,4.02979489121685
127,Ba(MgSb)2,P-3m1,mp-9567,0.8466,0.0,5,4.307466368305691
204,Cd(InTe2)2,I-4,mp-21374,0.8481000000000005,0.0,7,5.4193467442239855
140,Mg(BeP)2,P-3m1,mp-1017628,0.851,0.0,5,2.4154438126152917
56,Ca2CdAs2,Cmc2_1,mp-1095180,0.8529999999999998,0.0,10,4.385079757369055
134,Ba2ZrS4,I4/mmm,mp-3813,0.8540000000000001,0.000986496964287653,7,4.113163521362466
132,BaNaP,P-62m,mp-9732,0.8555000000000001,0.0,9,3.6526234240069093
328,Mn(GaSe2)2,I-4,mp-665152,0.8566,0.0003514171428564694,7,4.732344939380657
358,LiInSe2,R-3m,mp-10618,0.8574999999999999,0.08051890750000013,4,5.235831779278224
286,KCuO2,Cmcm,mp-3982,0.8604999999999999,0.0,8,3.083444945473172
319,Sr3Fe2O5,Immm,mp-19218,0.8606000000000003,0.004586835333348027,10,4.9876580339176195
270,CsK2Sb,Fm-3m,mp-581024,0.8633999999999997,0.0,4,3.290420728930195
435,Na2PtSe2,Cmc2_1,mp-14588,0.8645999999999998,0.0,10,5.664987878767182
122,Ba2HfS4,I4/mmm,mp-9321,0.8648000000000002,0.0,7,4.933314588388851
203,Cd(InSe2)2,P-42m,mp-568032,0.8678999999999999,0.004348300000000194,7,5.141093342742484
302,ScCuS2,P3m1,mp-6980,0.8709999999999996,0.0,4,3.9113852839067587
139,LiBeSb,P6_3mc,mp-9575,0.8731,0.03921868444444421,6,4.47369816253114
198,Ca(ZnP)2,P-3m1,mp-9569,0.875,0.0,5,3.9807644619644242
4,Ba(AgS)2,P-3m1,mp-8579,0.8761000000000001,0.0,5,5.610699500257694
409,MnSnO3,R-3,mp-655329,0.8775999999999993,0.0,10,5.845874272033587
273,Cs2Ni3S4,Fmmm,mp-1080141,0.8785999999999996,0.004214433888888536,9,4.25689459832118
90,Tl3AsSe3,R3m,mp-7684,0.8795999999999999,0.0,7,6.971300744455961
353,TaI2O,C2/m,mp-29027,0.8813000000000004,0.0,8,6.295539689129813
275,Cs2Sb2Pd,Cmcm,mp-1078965,0.8815999999999997,0.0,10,4.8917831823025155
339,TiGePt,F-43m,mp-1008680,0.8818999999999999,0.0,3,9.749872105884831
190,Na2PdC2,P-3m1,mp-4823,0.8829,0.031626743000000346,5,3.145072508743975
378,KTlO2,R-3m,mp-8175,0.8835999999999999,0.0,4,6.951058371122329
52,K4BeAs2,R-3m,mp-29584,0.8851000000000001,0.0,7,2.12522676793504
263,CsUF6,R-3,mp-7489,0.8853000000000001,0.0,8,4.740526321740846
91,ZnSiAs2,I-42d,mp-3595,0.8866,0.0,8,4.530761166625866
92,ZnSiAs2,I-42d,mp-1080509,0.8866,0.0015222149999996049,8,4.536020696882124
141,NaBeSb,P6_3/mmc,mp-9574,0.8866,0.049663684583334256,6,3.6151034655527376
147,Ge(BiTe2)2,R-3m,mp-27948,0.8887,0.004923225714286161,7,7.227979353633073
461,Rb2PdSe2,Immm,mp-1069771,0.889,0.0,5,4.7100595929290705
169,K3BrO,Pm-3m,mp-28166,0.889,0.0,5,2.4032813998440545
37,AlCuSe2,I-42d,mp-8016,0.8921999999999999,0.0,8,4.6513547601904195
373,K2MnTe2,Ibam,mp-8719,0.8929,0.0,10,3.4311888999157962
215,Ce2SeN2,P-3m1,mp-1069558,0.8943000000000003,0.0,5,6.827893892618174
221,EuClF,P4/nmm,mp-556382,0.8959000000000001,0.0,6,5.702972476766156
11,ErAgTe2,P-42_1m,mp-12902,0.8967,0.0,8,7.4577987192740185
35,YAgTe2,P-42_1m,mp-12903,0.8989000000000003,0.0,8,6.227446922222278
445,RbTlO2,R-3m,mp-8176,0.8992,0.0,4,7.5926689728636765
22,HoAgTe2,P-42_1m,mp-12904,0.9017999999999997,0.0,8,7.370991209694689
175,NbBr2O,C2,mp-550070,0.9038000000000002,0.0,8,4.452127551385046
112,TlBSe3,Cc,mp-29959,0.9044000000000003,0.0008218894222222772,10,5.7524701939024
197,Ca4Sb2O,I4/mmm,mp-13660,0.9093999999999998,0.0,7,3.834303965238706
