,Formula,Space group,Material_id,Gap,e_above_hull,N_sites,Density
60,CdSiAs2,I-42d,mp-3078,0.40090000000000003,0.0,8,4.851958065168461
342,SrHfN2,R-3m,mp-9383,0.40110000000000046,0.03139056000000018,4,8.451730656831497
398,LiTlO2,I4_1/amd,mp-8179,0.40200000000000014,0.023669811999999624,8,8.082192135260122
193,Ca(InP)2,P6_3/mmc,mp-1079772,0.40339999999999954,0.0,10,4.341900730072197
259,Cs2CuF6,Fm-3m,mp-28692,0.40390000000000015,0.0,9,3.912251124541259
403,LiZnSb,P6_3mc,mp-9919,0.4057000000000004,0.0,6,5.159037698937485
54,Mg(BeAs)2,P-3m1,mp-865185,0.4079999999999995,0.0,5,3.9551643989039147
69,Ge2Te5As2,P-3m1,mp-14791,0.40920000000000023,0.014632804444444147,9,6.081725557974779
453,UV2O6,P-31m,mp-25121,0.40939999999999976,0.0035625551388598353,9,6.774823170493245
180,Rb3BrO,Pm-3m,mp-30055,0.40979999999999994,0.0026132449999991536,5,3.369878133736554
399,LiUO3,R3c,mp-8007,0.41000000000000014,0.0,10,7.452341546252959
348,HoNiSb,F-43m,mp-4174,0.41270000000000007,0.0,3,9.042784539286506
111,CaBO3,P2_1/m,mp-1084760,0.4137,0.09947516062500128,10,2.463790736155614
20,Ag2HgS2,P2_1/c,mp-9635,0.4139000000000004,0.030232823000000852,10,7.439905330610116
248,CrCuS2,R3m,mp-554579,0.4142000000000001,0.04000725812499262,4,4.52776010979285
309,ErSbPt,F-43m,mp-16329,0.41629999999999967,0.0,3,11.279319607962684
93,Yb(ZnAs)2,P-3m1,mp-10314,0.4163000000000001,0.0,5,7.136174920443267
44,Na2AsAu,Cmcm,mp-7773,0.4184000000000001,0.0,8,5.670565880443618
233,NdTeCl,P4/nmm,mp-1018818,0.41999999999999993,0.009143729444445192,6,6.1653359899057465
315,NdTeF,P4/nmm,mp-12621,0.4204000000000008,0.041105187407405985,6,7.105188534508781
153,Bi2Pb2Se5,P-3m1,mp-570930,0.4275000000000002,0.007066808888883891,9,7.619755233237607
238,PrTeCl,P4/nmm,mp-1018941,0.4276,0.0,6,5.982748431311946
336,Hg2GeSe4,I-4,mp-3167,0.42799999999999994,0.0,7,6.603109600384815
427,Na2Pd3O4,Immm,mp-27562,0.43409999999999993,0.0,9,6.188662283647045
12,AgSnF6,P-1,mp-10809,0.43499999999999983,0.0,8,4.416421220021435
369,K4IrO4,C2/m,mp-8429,0.43789999999999996,0.0,9,3.8082439156026298
244,LaCoO3,Pm-3m,mp-1068396,0.4388000000000005,0.08446436000000013,5,7.341624438328679
250,CrGeTe3,R-3,mp-1078220,0.44179999999999975,0.004925622999997437,10,5.79574425876628
135,Ba2ZnSb2,Ibam,mp-1079149,0.4421999999999997,0.0,10,5.297976359614532
370,Na4IrO4,I4/m,mp-28698,0.44410000000000016,0.0,9,4.613494635846518
441,TbNiSb,F-43m,mp-3716,0.4447000000000001,0.0,3,8.720654833117097
380,KUO3,Pm-3m,mp-4126,0.44540000000000024,0.0,5,6.643500663016632
389,KZnSb,P6_3/mmc,mp-7438,0.4468000000000001,0.0,6,3.8554374755866863
446,RbUO3,Pm-3m,mp-11775,0.45230000000000015,0.0,5,7.436881695563858
